"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1084","test2","chromium","2026-03-20","passed","2026-03-20","","testautomation.spec.js","",""
"","1622","3. Form Based Auth - Failure","firefox","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1095","localhost 5500 contact test for raghu1@gmail.com","chromium","2026-03-20","failed","2026-03-20","","example.spec.js","",""
"","229","3. Error: Message Too Short","webkit","2026-03-20","failed","2026-03-20","Pet Shop Contact Form Tests","contacts.spec.js","",""
"","1583","test5","firefox","2026-03-20","passed","2026-03-20","","Automation.spec.js","",""
"","1837","test3","webkit","2026-03-20","passed","2026-03-20","","Automation.spec.js","",""
"","30065","4. Interact with IFrame","firefox","2026-03-20","broken","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","1846","7. Multiple Windows/Tabs","webkit","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1422","test3","webkit","2026-03-20","passed","2026-03-20","","testautomation.spec.js","",""
"","1319","2. Form Based Auth - Success","chromium","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1486","7. Multiple Windows/Tabs","firefox","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1249","test3","chromium","2026-03-20","passed","2026-03-20","","Automation.spec.js","",""
"","30244","4. Intercept & Mock Network Request","webkit","2026-03-20","broken","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1382","test1","chromium","2026-03-20","passed","2026-03-20","","testautomation.spec.js","",""
"","326","should be ok","chromium","2026-03-20","failed","2026-03-20","test the backend endpoints","api.spec.js","",""
"","1567","6. Drag and Drop","firefox","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","908","Search test for Python","firefox","2026-03-20","passed","2026-03-20","Parameterization and Advanced Assertions","param-assertion.spec.js","",""
"","1125","test","chromium","2026-03-20","passed","2026-03-20","","Automation.spec.js","",""
"","1099","6. Handle File Download","chromium","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","80","2. Error: Invalid Email Format","chromium","2026-03-20","failed","2026-03-20","Pet Shop Contact Form Tests","contacts.spec.js","",""
"","1245","Test 1 running in parallel","firefox","2026-03-20","passed","2026-03-20","Parallel Execution and Fixtures","paralell-fixture.spec.js","",""
"","943","2. Verify secure area without logging in again","chromium","2026-03-20","passed","2026-03-20","Authentication Management > Tests that require login","auth.spec.js","",""
"","30043","4. Interact with IFrame","webkit","2026-03-20","broken","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","1224","test5","chromium","2026-03-20","passed","2026-03-20","","Automation.spec.js","",""
"","328","should be ok","firefox","2026-03-20","failed","2026-03-20","test the backend endpoints","api.spec.js","",""
"","1999","contact page submit","firefox","2026-03-20","failed","2026-03-20","","example.spec.js","",""
"","229","1. Successful Submission","webkit","2026-03-20","failed","2026-03-20","Pet Shop Contact Form Tests","contacts.spec.js","",""
"","1589","3. Handle JS Prompt - Input Text","firefox","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","1087","should not have any automatically detectable accessibility issues","chromium","2026-03-20","failed","2026-03-20","homepage","acess.spec.js","",""
"","1454","Search test for JavaScript","webkit","2026-03-20","passed","2026-03-20","Parameterization and Advanced Assertions","param-assertion.spec.js","",""
"","1859","1. Handle JS Alert - Accept","webkit","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","2327","1. Login and save state","webkit","2026-03-20","passed","2026-03-20","Authentication Management","auth.spec.js","",""
"","30244","5. Wait for specific API response","webkit","2026-03-20","broken","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1078","Search test for Java","webkit","2026-03-20","passed","2026-03-20","Parameterization and Advanced Assertions","param-assertion.spec.js","",""
"","2232","5. Hover over elements","firefox","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","1598","2. Handle JS Confirm - Dismiss","firefox","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","1287","1. Login and save state","chromium","2026-03-20","passed","2026-03-20","Authentication Management","auth.spec.js","",""
"","1348","10. File Upload","chromium","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","2055","9. Dynamic Loading - Wait for element","webkit","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","1","has title","webkit","2026-03-20","skipped","2026-03-20","","example.spec.js","",""
"","1191","5. Hover over elements","chromium","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","1081","1. Basic Authentication via URL","chromium","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","252","Test 2 running in parallel","chromium","2026-03-20","passed","2026-03-20","Parallel Execution and Fixtures","paralell-fixture.spec.js","",""
"","242","localhost 5500 contact test for aaryan2@gamil.com","webkit","2026-03-20","failed","2026-03-20","","example.spec.js","",""
"","1062","10. Take Element Screenshot","chromium","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1947","should not have any automatically detectable accessibility issues","firefox","2026-03-20","failed","2026-03-20","homepage","acess.spec.js","",""
"","1705","test6","webkit","2026-03-20","passed","2026-03-20","","Automation.spec.js","",""
"","887","3. Error: Message Too Short","firefox","2026-03-20","failed","2026-03-20","Pet Shop Contact Form Tests","contacts.spec.js","",""
"","1892","Polling Assertions","chromium","2026-03-20","passed","2026-03-20","Parameterization and Advanced Assertions","param-assertion.spec.js","",""
"","0","has title","firefox","2026-03-20","skipped","2026-03-20","","example.spec.js","",""
"","1","has title","chromium","2026-03-20","skipped","2026-03-20","","example.spec.js","",""
"","1240","test6","chromium","2026-03-20","passed","2026-03-20","","Automation.spec.js","",""
"","1434","7. Select from Dropdown","firefox","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","30288","5. Wait for specific API response","firefox","2026-03-20","broken","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","30026","test","firefox","2026-03-20","broken","2026-03-20","","amazon.spec.js","",""
"","1996","6. Handle File Download","firefox","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1768","test6","firefox","2026-03-20","passed","2026-03-20","","Automation.spec.js","",""
"","918","9. Set Local Storage to bypass UI","chromium","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1","get started link","firefox","2026-03-20","skipped","2026-03-20","","example.spec.js","",""
"","1095","contact page submit","chromium","2026-03-20","failed","2026-03-20","","example.spec.js","",""
"","1985","localhost 5500 contact test for raghu1@gmail.com","firefox","2026-03-20","failed","2026-03-20","","example.spec.js","",""
"","30022","test","webkit","2026-03-20","broken","2026-03-20","","amazon.spec.js","",""
"","0","contact page title","webkit","2026-03-20","skipped","2026-03-20","","example.spec.js","",""
"","0","get started link","webkit","2026-03-20","skipped","2026-03-20","","example.spec.js","",""
"","1289","3. Form Based Auth - Failure","chromium","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
